Data from DA Winter: Biomechanics and Motor Control of Human Gait (normal cadence),,,,,,,,,,,
Gait cycle duration:,,1.1396,s.,,,,,,,,
Walking speed: ,,1.325,s.,,,,,,,,
,,,,,,,,,,,
sample,%gait cycle,,,hip angle    ,knee angle    ,ankle angle    ,horizontal GRF,vertical GRF,hip moment    ,knee moment    ,ankle moment
,,,,(deg),(deg),(deg),(N/kg),(N/kg),(Nm/kg),(Nm/kg),(Nm/kg)
1,0.00,,,19.33,3.97,0.02,0.03,0.64,0.249,-0.196,-0.009
2,2.00,,,18.92,7,-2.06,-0.16,2.92,0.6,-0.281,-0.034
3,4.00,,,18.45,10.52,-3.88,-0.82,5.35,0.556,-0.09,-0.064
4,6.00,,,17.94,14.12,-4.6,-1.42,7.31,0.416,0.173,-0.051
5,8.00,,,17.3,17.38,-3.98,-1.75,8.69,0.359,0.362,0.028
6,10.00,,,16.4,19.84,-2.4,-1.92,9.79,0.305,0.508,0.143
7,12.00,,,15.18,21.27,-0.45,-1.9,10.51,0.245,0.593,0.26
8,14.00,,,13.67,21.67,1.45,-1.76,10.82,0.159,0.615,0.368
9,16.00,,,11.97,21.22,3.04,-1.52,10.57,0.084,0.556,0.469
10,18.00,,,10.21,20.2,4.27,-1.28,9.95,0,0.469,0.545
11,20.00,,,8.48,18.86,5.13,-1.06,9.14,-0.064,0.362,0.601
12,22.00,,,6.74,17.35,5.71,-0.86,8.31,-0.092,0.244,0.65
13,24.00,,,4.94,15.73,6.1,-0.69,7.7,-0.099,0.141,0.692
14,26.00,,,3.13,14.08,6.43,-0.55,7.29,-0.092,0.052,0.736
15,28.00,,,1.42,12.5,6.76,-0.42,7.1,-0.085,-0.019,0.78
16,30.00,,,-0.13,11.09,7.12,-0.31,7.07,-0.088,-0.07,0.825
17,32.00,,,-1.54,9.91,7.54,-0.2,7.19,-0.1,-0.114,0.881
18,34.00,,,-2.87,8.97,7.99,-0.07,7.45,-0.13,-0.149,0.951
19,36.00,,,-4.12,8.28,8.44,0.08,7.84,-0.168,-0.181,1.037
20,38.00,,,-5.3,7.86,8.86,0.28,8.37,-0.199,-0.217,1.144
21,40.00,,,-6.4,7.72,9.23,0.52,8.97,-0.231,-0.247,1.26
22,42.00,,,-7.43,7.94,9.51,0.79,9.61,-0.269,-0.269,1.388
23,44.00,,,-8.39,8.6,9.62,1.11,10.2,-0.312,-0.27,1.513
24,46.00,,,-9.27,9.76,9.43,1.44,10.62,-0.364,-0.237,1.688
25,48.00,,,-10.02,11.5,8.7,1.77,10.63,-0.401,-0.171,1.628
26,50.00,,,-10.61,13.86,7.2,2.05,10.13,-0.404,-0.087,1.565
27,52.00,,,-10.95,16.97,4.69,2.19,8.97,-0.356,-0.004,1.388
28,54.00,,,-10.91,20.96,1.15,2.02,6.92,-0.262,0.054,1.073
29,56.00,,,-10.31,26,-3.2,1.5,4.55,-0.251,0.116,0.69
30,58.00,,,-9,32.03,-8.17,0.81,2.42,-0.31,0.157,0.335
31,60.00,,,-6.95,38.74,-13.05,0.29,1.03,-0.344,0.156,0.102
32,62.00,,,-4.25,45.6,-17.13,0.07,0.33,-0.295,0.114,-0.001
33,64.00,,,-1.05,52.05,-19.52,0,0.06,-0.228,0.08,-0.028
34,66.00,,,2.42,57.54,-19.77,0,0,-0.169,0.066,-0.023
35,68.00,,,5.93,61.66,-18.12,0,0,-0.126,0.064,-0.019
36,70.00,,,9.22,64.12,-15.29,0,0,-0.089,0.053,-0.015
37,72.00,,,12.11,64.86,-12.04,0,0,-0.069,0.037,-0.012
38,74.00,,,14.55,63.95,-8.85,0,0,-0.057,0.02,0
39,76.00,,,16.53,61.59,-5.96,0,0,-0.044,0.004,-0.01
40,78.00,,,18.13,57.97,-3.51,0,0,-0.026,-0.009,-0.01
41,80.00,,,19.45,53.27,-1.64,0,0,-0.009,-0.023,-0.011
42,82.00,,,20.54,47.58,-0.5,0,0,0.008,-0.04,-0.012
43,84.00,,,21.38,40.94,-0.07,0,0,0.029,-0.059,-0.013
44,86.00,,,21.84,33.46,-0.16,0,0,0.06,-0.082,-0.013
45,88.00,,,21.87,25.38,-0.42,0,0,0.106,-0.114,-0.011
46,90.00,,,21.5,17.27,-0.52,0,0,0.17,-0.158,-0.006
47,92.00,,,20.84,9.94,-0.26,0,0,0.242,-0.211,0.001
48,94.00,,,20.09,4.31,0.36,0,0,0.296,-0.253,0.087
49,96.00,,,19.5,1.12,1,0,0,0.301,-0.263,0.011
50,98.00,,,19.18,0.54,1.2,0,0,0.237,-0.224,0.01
51,100.00,,,19.01,2.21,0.58,0,0,0.118,-0.147,0.004
,,,,,,,,,,,
